causeCode,numRunups,tsIntensity,oceanicTsunami,eqMagnitude,warningStatusId,
3,33,1.5,TRUE,6.8,,
1,1,0,TRUE,6,,
1,1,1,TRUE,,,
0,1,1,TRUE,,,
9,3,1.5,TRUE,,,
1,4,2,TRUE,8.1,,
1,27,3,TRUE,7.4,,
1,1,1,TRUE,,,
1,1,2.5,TRUE,8.4,,
9,0,2,TRUE,,,
1,0,,TRUE,7.5,,
1,2,,TRUE,,,
8,1,,TRUE,,,
0,0,,TRUE,,,
0,0,,TRUE,,,
1,0,,TRUE,,,
1,0,,TRUE,7.5,,
9,1,0,TRUE,,,
1,11,3.5,TRUE,8.5,,
1,1,2,TRUE,7,,
1,1,,TRUE,,,
0,1,1,TRUE,,,
0,1,,TRUE,,,
0,0,,TRUE,,,
1,4,,TRUE,8,,
3,4,,TRUE,7.7,,
6,0,,TRUE,,,
9,1,1,TRUE,,,
9,1,2,TRUE,,,
1,1,,TRUE,6.4,,
8,2,,TRUE,,,
0,1,1,TRUE,,,
1,7,,TRUE,9,,
8,1,2,TRUE,,,
1,4,1,TRUE,6.5,,
1,48,3,TRUE,8.2,,
0,2,1,TRUE,,,
0,1,,TRUE,,,
1,1,3,TRUE,,,
6,1,,TRUE,,,
1,31,4,TRUE,8.4,,
1,4,1,TRUE,7,,
1,2,2,TRUE,,,
1,1,1.5,TRUE,,,
1,5,1.5,TRUE,7,,
1,1,1,TRUE,6.7,,
1,0,,TRUE,7.5,,
1,1,,TRUE,6.6,,
6,1,,FALSE,,,
0,1,,TRUE,,,
9,1,1.5,TRUE,,,
1,1,0,TRUE,,,
1,0,,TRUE,,,
1,1,3,TRUE,6,,
1,1,1.5,TRUE,,,
0,2,,TRUE,,,
1,1,1,TRUE,6.6,,
1,16,3.5,TRUE,9.1,,
1,1,,TRUE,6.6,,
0,2,,TRUE,,,
1,1,1.5,TRUE,,,
1,1,2,TRUE,,,
1,1,1,TRUE,6.5,,
1,1,1.5,TRUE,,,
1,7,4,TRUE,,,
1,0,,TRUE,7.5,,
1,0,,TRUE,8,,
1,1,3,TRUE,6.5,,
7,64,2.5,TRUE,6.9,,
1,0,,TRUE,,,
1,0,1.5,TRUE,7,,
1,1,1,TRUE,,,
1,12,3.5,TRUE,8,,
0,0,,TRUE,,,
0,2,0.5,TRUE,,,
1,1,,TRUE,,,
1,1,3,TRUE,6.8,,
6,1,,FALSE,,,
1,1,,TRUE,,,
1,0,4,TRUE,,,
3,1,1,TRUE,6.6,,
1,7,3.5,TRUE,8.5,,
0,2,0.5,TRUE,,,
